ax,ay,az,gx,gy,gz,mx,my,mz
-200,0,17048,88,110,-107,-46,2,397
32,-24,16856,-13,226,-68,-43,-11,381
-104,-248,17088,-85,61,-22,-43,-8,381
-104,-136,16872,19,41,90,-41,-10,387
-96,-216,17168,-12,129,-309,-43,-3,388
-192,-128,16992,28,298,34,-50,-1,383
-176,-320,16984,-181,198,-113,-49,0,389
-72,-184,16824,-27,248,84,-50,-6,381
-288,-104,16848,85,168,-61,-48,-8,391
-160,-280,17136,63,210,-2,-53,-1,388
-168,32,16808,46,175,-72,-43,3,388
-296,-64,16832,-69,284,-160,-46,-7,392
-176,-144,17024,95,-161,-98,-39,-2,392
-272,-184,17112,-122,35,237,-40,-8,388
-128,56,16968,82,161,112,-46,-10,387
-248,-128,17096,-37,163,-45,-44,-7,387
-320,-184,17256,13,100,-237,-39,-5,392
-312,-360,17256,-142,222,-149,-44,-2,394
-208,-336,16944,46,79,-143,-51,-7,389
-136,-216,16776,220,39,-158,-53,-3,393
-168,-208,16832,-180,234,-251,-48,3,386
-200,-152,16840,145,555,-138,-41,0,389
-200,-72,17048,86,284,45,-44,-5,394
-40,-96,16936,32,385,53,-39,-2,389
-256,-88,17176,-1,210,-332,-34,-5,397
-168,-112,17096,71,38,-35,-40,1,386
-192,-72,16920,12,-36,-4,-39,-7,392
-392,-312,16976,127,14,7,-41,-7,382
-336,-96,17040,-129,-51,-92,-55,-6,393
32,-192,17080,-135,9,-378,-45,-11,388
-136,-56,17056,76,66,-190,-40,-8,393
24,128,17176,-23,280,-157,-48,-14,386
-304,-232,17016,42,113,-392,-43,-3,386
-368,-280,16976,53,329,-20,-41,-2,389
-200,160,17056,317,-137,-230,-39,-2,387
-96,-184,16952,155,14,265,-45,-3,388
-128,8,16904,28,403,172,-45,-8,393
-296,-40,16936,-28,-2,-60,-38,-3,386
-352,-96,17088,121,9,115,-51,-12,394
-328,-240,16984,-221,274,-193,-45,-1,395
-296,16,17000,-189,84,-1,-43,-3,383
-320,-248,16952,248,-174,-39,-50,-8,393
-160,-216,17016,-111,120,-128,-44,-7,382
-80,-152,16912,75,133,21,-51,-7,394
32,-160,17064,197,-151,-152,-46,-10,389
-96,8,17048,-13,201,-151,-48,-3,393
-48,72,16800,104,-243,110,-56,-5,387
-120,-152,16872,-234,126,14,-55,-1,395
-360,-168,17048,-157,26,-304,-45,1,388
-272,-128,16888,97,48,-293,-50,-11,393
-288,-120,16976,-86,410,-1,-46,-7,387
-128,-56,17024,-170,144,-172,-37,-5,387
-392,-104,16952,97,-241,-295,-49,0,389
-136,-32,16944,43,132,-130,-45,-6,383
-48,-256,17000,79,-172,399,-45,-6,388
-128,-96,16768,-131,515,302,-39,-2,389
-192,-112,17056,31,-96,-61,-50,-3,393
-64,-72,16936,-64,319,241,-53,-14,388
64,-88,16936,-93,88,116,-45,1,386
-216,-168,16840,169,-77,-201,-54,-25,385
-176,-112,16912,0,382,-161,-58,-3,379
-192,48,16856,-157,198,-160,-41,-2,387
-88,-192,17032,-93,270,-36,-43,-1,388
48,-328,16912,272,81,-28,-43,-3,388
-136,-192,17128,-129,158,-30,-46,-10,387
-304,80,16712,-94,326,-253,-51,0,392
-288,-152,16840,15,30,107,-44,-15,385
-232,-112,17072,185,297,272,-44,-10,387
-376,64,16792,71,96,251,-40,-14,386
-224,32,16944,40,277,-94,-49,-2,387
-112,-224,17008,-169,178,-74,-45,3,391
-184,24,17000,-39,162,89,-43,-6,393
-424,-208,16944,-145,138,-201,-41,-5,385
