UnixTime,gx,gy,gz,ax,ay,az,mx,my,mz
1700167688.137798,00,00,00,00,00,00,0f,2d,33
1700167688.2409434,00,00,00,00,00,00,03,2d,33
1700167688.3455718,00,00,00,00,00,00,06,2e,39
1700167688.4531221,00,00,00,00,00,00,0b,36,26
1700167688.560606,00,00,00,00,00,00,01,36,32
1700167688.6680522,00,00,00,00,00,00,09,2e,21
1700167688.775548,00,00,00,00,00,00,0e,31,23
1700167688.887273,00,00,00,00,00,00,06,3b,26
1700167688.9947643,00,00,00,00,00,00,08,32,18
1700167689.1022377,00,00,00,00,00,00,04,33,28
1700167689.209673,00,00,00,00,00,00,04,31,26
1700167689.3172112,00,00,00,00,00,00,09,31,21
1700167689.428865,00,00,00,00,00,00,03,25,27
1700167689.536367,00,00,00,00,00,00,06,31,21
1700167689.643824,00,00,00,00,00,00,fe,37,22
1700167689.7512841,00,00,00,00,00,00,03,30,22
1700167689.858752,00,00,00,00,00,00,0b,31,28
1700167689.9708602,00,00,00,00,00,00,0b,3b,1a
1700167690.0783484,00,00,00,00,00,00,06,2e,23
1700167690.1862717,00,00,00,00,00,00,04,29,2b
1700167690.293908,00,00,00,00,00,00,08,37,1d
1700167690.4013777,00,00,00,00,00,00,03,30,22
1700167690.5135784,00,00,00,00,00,00,0b,39,1c
1700167690.6210132,00,00,00,00,00,00,08,32,25
1700167690.72852,00,00,00,00,00,00,06,31,21
1700167690.8360586,00,00,00,00,00,00,fd,33,2d
1700167690.9436538,00,00,00,00,00,00,05,25,1d
1700167691.0551114,00,00,00,00,00,00,03,32,20
1700167691.162696,00,00,00,00,00,00,0b,33,1e
1700167691.2701864,00,00,00,00,00,00,04,2c,28
1700167691.3777077,00,00,00,00,00,00,ff,31,23
1700167691.4851274,00,00,00,00,00,00,03,3a,27
1700167691.5944693,00,00,00,00,00,00,03,37,2e
1700167691.6976347,00,00,00,00,00,00,fa,31,2f
1700167691.800792,00,00,00,00,00,00,08,2d,2e
1700167691.9039478,00,00,00,00,00,00,0b,33,3c
1700167692.0070815,00,00,00,00,00,00,01,33,2b
1700167692.1118894,00,00,00,00,00,00,0f,35,27
1700167692.2150888,00,00,00,00,00,00,08,32,36
1700167692.3183625,00,00,00,00,00,00,03,37,38
1700167692.4214923,00,00,00,00,00,00,06,2e,37
1700167692.5246212,00,00,00,00,00,00,ff,31,32
1700167692.6297007,00,00,00,00,00,00,03,2d,29
1700167692.7329304,00,00,00,00,00,00,01,33,34
1700167692.8360934,00,00,00,00,00,00,04,39,2b
1700167692.9392233,00,00,00,00,00,00,fe,35,33
1700167693.042346,00,00,00,00,00,00,0a,41,2c
1700167693.1506407,00,00,00,00,00,00,04,33,1e
1700167693.2581208,00,00,00,00,00,00,0d,3a,25
1700167693.3692849,00,00,00,00,00,00,0d,37,2c
1700167693.4768353,00,00,00,00,00,00,06,2e,28
1700167693.5844429,00,00,00,00,00,00,12,30,20
1700167693.6996253,00,00,00,00,00,00,0a,30,31
1700167693.8072155,00,00,00,00,00,00,03,32,2c
1700167693.9147332,00,00,00,00,00,00,06,31,23
1700167694.0229576,00,00,00,00,00,00,08,35,2e
1700167694.130472,00,00,00,00,00,00,00,32,2c
1700167694.2422748,00,00,00,00,00,00,ff,27,23
1700167694.3497636,00,00,00,00,00,00,0e,2e,26
1700167694.4572585,00,00,00,00,00,00,fd,33,28
1700167694.564719,00,00,00,00,00,00,01,33,26
1700167694.6722353,00,00,00,00,00,00,09,31,26
1700167694.7833269,00,00,00,00,00,00,08,3a,25
1700167694.8907974,00,00,00,00,00,00,00,35,25
1700167694.9982262,00,00,00,00,00,00,0b,33,1a
1700167695.105693,00,00,00,00,00,00,0b,33,23
1700167695.2131393,00,00,00,00,00,00,05,2b,1d
1700167695.324081,00,00,00,00,00,00,05,2d,1d
1700167695.4315534,00,00,00,00,00,00,10,31,23
1700167695.5391238,00,00,00,00,00,00,05,2b,25
1700167695.6466615,00,00,00,00,00,00,01,29,1e
1700167695.7541406,00,00,00,00,00,00,00,35,1d
1700167695.8661938,00,00,00,00,00,00,06,36,2b
1700167695.9737277,00,00,00,00,00,00,04,3e,1c
1700167696.081227,00,00,00,00,00,00,0b,31,1c
1700167696.1886964,00,00,00,00,00,00,08,35,1d
1700167696.2962918,00,00,00,00,00,00,0f,3a,1d
1700167696.4040046,00,00,00,00,00,00,06,31,28
1700167696.5071306,00,00,00,00,00,00,04,2e,2d
1700167696.610274,00,00,00,00,00,00,00,35,27
1700167696.7134,00,00,00,00,00,00,01,33,34
1700167696.816534,00,00,00,00,00,00,03,2d,2e
1700167696.921855,00,00,00,00,00,00,fe,35,29
1700167697.0250542,00,00,00,00,00,00,01,3b,2f
1700167697.1282146,00,00,00,00,00,00,fa,33,2b
1700167697.2349002,00,00,00,00,00,00,06,31,1e
1700167697.33803,00,00,00,00,00,00,04,31,2f
1700167697.4429517,00,00,00,00,00,00,0a,32,2e
1700167697.5460906,00,00,00,00,00,00,03,30,2e
1700167697.649197,00,00,00,00,00,00,03,3c,2c
1700167697.7523887,00,00,00,00,00,00,08,2b,2e
1700167697.8555458,00,00,00,00,00,00,00,3a,29
1700167697.9647887,00,00,00,00,00,00,0a,30,25
1700167698.072239,00,00,00,00,00,00,01,33,21
1700167698.1796684,00,00,00,00,00,00,05,35,25
1700167698.2871912,00,00,00,00,00,00,04,2e,21
1700167698.3946772,00,00,00,00,00,00,ff,2c,21
1700167698.505284,00,00,00,00,00,00,08,32,27
1700167698.6126812,00,00,00,00,00,00,04,2e,26
1700167698.7200983,00,00,00,00,00,00,0a,30,27
1700167698.8275764,00,00,00,00,00,00,ff,36,2d
1700167698.9350877,00,00,00,00,00,00,09,31,23
1700167699.0462615,00,00,00,00,00,00,ff,39,23
1700167699.1536522,00,00,00,00,00,00,0d,35,1d
1700167699.2610981,00,00,00,00,00,00,06,39,28
1700167699.3685913,00,00,00,00,00,00,0e,39,1e
1700167699.4760404,00,00,00,00,00,00,09,33,28
1700167699.5865922,00,00,00,00,00,00,03,2d,20
1700167699.6940446,00,00,00,00,00,00,08,32,25
1700167699.8016148,00,00,00,00,00,00,0b,31,1c
1700167699.9091203,00,00,00,00,00,00,06,33,1c
1700167700.016535,00,00,00,00,00,00,08,30,1b
1700167700.1258645,00,00,00,00,00,00,06,2e,1c
1700167700.2333071,00,00,00,00,00,00,0a,35,1d
1700167700.3407993,00,00,00,00,00,00,01,39,26
1700167700.4483445,00,00,00,00,00,00,0a,2d,20
1700167700.555803,00,00,00,00,00,00,06,3b,2b
1700167700.6655476,00,00,00,00,00,00,fd,33,21
1700167700.773024,00,00,00,00,00,00,08,3a,29
1700167700.8805475,00,00,00,00,00,00,01,2e,1e
1700167700.9943762,00,00,00,00,00,00,01,2e,2b
1700167701.1019466,00,00,00,00,00,00,0d,35,27
1700167701.2079077,00,00,00,00,00,00,03,35,31
1700167701.3110783,00,00,00,00,00,00,0e,45,28
1700167701.4142442,00,00,00,00,00,00,0f,35,29
1700167701.517375,00,00,00,00,00,00,fd,3b,2d
1700167701.6205158,00,00,00,00,00,00,12,32,29
1700167701.7248306,00,00,00,00,00,00,ff,33,28
