Mag1X,Mag1Y,Mag1Z,Mag2X,Mag2Y,Mag2Z
-18.026666666666667,28.773333333333333,24.813333333333336,-27.400000000000002,-17.493333333333336,21.173333333333336
-17.986666666666668,28.866666666666667,24.826666666666668,-27.373333333333335,-17.546666666666667,21.32
-18.0,28.773333333333333,24.94666666666667,-27.293333333333337,-17.64,21.28
-17.973333333333333,28.866666666666667,24.84,-27.400000000000002,-17.506666666666668,21.226666666666667
-18.026666666666667,28.813333333333336,24.90666666666667,-27.30666666666667,-17.573333333333334,21.26666666666667
-18.013333333333335,28.866666666666667,24.866666666666667,-27.346666666666668,-17.653333333333336,21.186666666666667
-18.013333333333335,28.853333333333335,24.92,-27.360000000000003,-17.52,21.30666666666667
-17.96,28.653333333333336,24.813333333333336,-27.453333333333337,-17.573333333333334,21.28
-18.12,28.813333333333336,24.92,-27.400000000000002,-17.533333333333335,21.333333333333336
-17.92,28.8,24.853333333333335,-27.413333333333334,-17.560000000000002,21.26666666666667
-18.026666666666667,28.840000000000003,24.880000000000003,-27.360000000000003,-17.546666666666667,21.30666666666667
-18.026666666666667,28.826666666666668,24.893333333333334,-27.400000000000002,-17.546666666666667,21.32
-18.026666666666667,28.853333333333335,24.8,-27.44,-17.560000000000002,21.293333333333333
-17.94666666666667,28.8,24.90666666666667,-27.32,-17.62666666666667,21.240000000000002
-18.066666666666666,28.826666666666668,24.92,-27.400000000000002,-17.573333333333334,21.26666666666667
-17.986666666666668,28.90666666666667,24.933333333333334,-27.373333333333335,-17.58666666666667,21.293333333333333
-18.040000000000003,28.840000000000003,24.96,-27.493333333333336,-17.546666666666667,21.30666666666667
-18.026666666666667,28.840000000000003,24.90666666666667,-27.42666666666667,-17.6,21.293333333333333
-18.066666666666666,28.826666666666668,24.90666666666667,-27.346666666666668,-17.560000000000002,21.333333333333336
-18.12,28.840000000000003,24.92,-27.400000000000002,-17.52,21.333333333333336
-17.96,28.733333333333334,24.880000000000003,-27.400000000000002,-17.52,21.28
-18.066666666666666,28.866666666666667,24.866666666666667,-27.42666666666667,-17.533333333333335,21.26666666666667
-18.0,28.826666666666668,24.773333333333333,-27.240000000000002,-17.666666666666668,21.32
-18.040000000000003,28.813333333333336,24.853333333333335,-27.400000000000002,-17.546666666666667,21.253333333333334
-17.986666666666668,28.853333333333335,24.880000000000003,-27.386666666666667,-17.613333333333333,21.28
-18.10666666666667,28.853333333333335,24.866666666666667,-27.453333333333337,-17.560000000000002,21.30666666666667
-17.986666666666668,28.773333333333333,24.853333333333335,-27.360000000000003,-17.533333333333335,21.28
-18.013333333333335,28.826666666666668,24.773333333333333,-27.373333333333335,-17.58666666666667,21.30666666666667
-18.0,28.840000000000003,24.853333333333335,-27.373333333333335,-17.493333333333336,21.240000000000002
-18.013333333333335,28.826666666666668,24.880000000000003,-27.373333333333335,-17.546666666666667,21.26666666666667
-17.973333333333333,28.8,24.866666666666667,-27.373333333333335,-17.573333333333334,21.30666666666667
-18.053333333333335,28.880000000000003,24.90666666666667,-27.333333333333336,-17.613333333333333,21.253333333333334
-18.040000000000003,28.840000000000003,24.84,-27.373333333333335,-17.52,21.26666666666667
-18.0,28.8,24.933333333333334,-27.373333333333335,-17.493333333333336,21.28
