Data
1700342957.7068064
0
0022
0000
fffe
f7eb
ffdd
007c
f500
e6ff
4700
-8.25
-6.62
-10.59
980.99
9.905
3.92425
4082253824.0
11.4
9.2
11.643880208333334
0.4724687988281249
3.3243990260244205
0.019532226562499998
5.027304040380272
0.5304591552734375
11.6552734375
0.47307922363281246
-5.381967640195626
-9.649530924750024
0
0
0
0
0
0
0
0000000
0000000
0000000
00fffe64
00000112
000002c7
