UnixTime,PacketCount,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,BatteryTemp1,BatteryTemp2,BMETemp,BMEPressure,BMEHumidity,UsedRam,FreeMemory,CPULoad,CPUTemp,BattRawVoltage,BattRawCurrent,V3v3,I3v3,V5v0,I5v0,VvBatt,IvBatt,RegTemp3v3,RegTemp5v0,GPSLat,GPSLatNS,GPSLn,GPSLonEW,GPSAlt,GPSVelocity,GPSSNR,Mag1X,Mag1Y,Mag1Z,Mag2X,Mag2Y,Mag2Z
1699388751.1916916,None, 000156, 000502, 001812, 004592,-001400, 016120, 000000, 000000, 000000,None,None,None,None,None,11.27971,53192176,None,51.6,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,-26.706666666666667,-15.72,22.653333333333336,-29.44,32.28,12.866666666666667
1699388761.1948693,None, 000209,-000074, 000177, 004536,-001600, 016080, 000228, 000000, 000000,None,None,None,None,None,11.36279,53192144,None,52.5,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,-26.666666666666668,-15.826666666666668,22.666666666666668,-29.400000000000002,32.266666666666666,12.813333333333334
1699388771.194738,None,-000181, 000068,-000732, 004520,-001632, 016208, 000000, 000000, 000000,None,None,None,None,None,11.36737,53192144,None,51.1,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,-26.666666666666668,-15.72,22.653333333333336,-29.413333333333334,32.32,12.826666666666668
1699388781.2009442,None,-000135, 000245, 001130, 004704,-001480, 016312, 000000, 000000, 000000,None,None,None,None,None,11.35657,53192140,None,52.1,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,-26.706666666666667,-15.786666666666667,22.706666666666667,-29.373333333333335,32.38666666666667,12.840000000000002
1699388791.2008922,None,-000353, 000267,-001043, 004552,-001672, 016216, 000225,-000273, 000379,None,None,None,None,None,11.35995,53192140,None,51.1,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,-26.666666666666668,-15.733333333333334,22.653333333333336,-29.413333333333334,32.4,12.666666666666668
1699388801.1975925,None,-000187, 000086, 000319, 004616,-001528, 016264, 000000, 000000, 000000,None,None,None,None,None,11.36772,53192136,None,51.6,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,-26.706666666666667,-15.733333333333334,22.666666666666668,-29.42666666666667,32.4,12.786666666666667
