UnixTime,PacketCount,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,BatteryTemp1,BatteryTemp2,BMETemp,BMEPressure,BMEHumidity,UsedRam,FreeMemory,CPULoad,CPUTemp,BattRawVoltage,BattRawCurrent,V3v3,I3v3,V5v0,I5v0,VvBatt,IvBatt,RegTemp3v3,RegTemp5v0,GPSLat,GPSLatNS,GPSLn,GPSLonEW,GPSAlt,GPSVelocity,GPSSNR,Mag1X,Mag1Y,Mag1Z,Mag2X,Mag2Y,Mag2Z
1699836787.3229573,None,-1.9512195121951221,2.5609756097560976,-1.524390243902439,0.46484375,0.4482421875,0.787109375,17.7,28.65,49.65,22.38,22.25,24.2,995.01,25.097,9.70644,53178048,None,39.9,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,3.8000000000000003,17.666666666666668,20.14666666666667,-6.186666666666667,-15.600000000000001,19.42666666666667
1699836788.3225172,None,0.06097560975609757,-0.9146341463414634,0.9756097560975611,0.4697265625,0.4443359375,0.7900390625,17.099999999999998,29.549999999999997,49.5,22.38,22.25,24.45,994.97,25.094,9.66418,53178048,None,38.4,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,4.16,17.733333333333334,20.226666666666667,-5.826666666666667,-15.466666666666667,19.253333333333334
1699836789.3225079,None,0.426829268292683,-0.1829268292682927,-1.707317073170732,0.4541015625,0.45263671875,0.7880859375,15.899999999999999,29.4,49.35,22.38,22.25,24.23,994.95,25.04,9.68126,53178044,None,38.4,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,4.013333333333334,17.506666666666668,19.973333333333336,-6.48,-15.426666666666668,19.32
1699836790.3224893,None,1.8902439024390245,1.0975609756097562,1.3414634146341464,0.458984375,0.44873046875,0.8056640625,17.4,28.65,48.3,22.38,22.25,24.1,994.97,24.988,9.65293,53178044,None,39.4,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,4.1466666666666665,17.52,20.12,-6.2,-15.693333333333335,19.253333333333334
1699836791.3224852,None,0.426829268292683,-2.073170731707317,2.439024390243903,0.4560546875,0.43603515625,0.8046875,16.8,29.099999999999998,49.5,22.38,22.25,24.1,994.95,24.983,9.65084,53178044,None,39.9,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,4.08,17.573333333333334,20.133333333333333,-6.306666666666667,-15.453333333333335,19.346666666666668
1699836792.322453,None,-2.439024390243903,1.1585365853658538,-0.30487804878048785,0.46044921875,0.451171875,0.7802734375,15.899999999999999,28.65,49.35,22.38,22.25,24.03,994.96,24.96,9.62262,53178044,None,37.9,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,4.213333333333334,17.546666666666667,20.186666666666667,-6.24,-15.586666666666668,19.26666666666667
1699836793.322952,None,2.0121951219512195,2.1951219512195124,-0.7926829268292683,0.46484375,0.431640625,0.798828125,16.65,28.2,50.1,22.38,22.25,24.06,994.98,24.989,9.62217,53178044,None,38.4,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,4.1866666666666665,17.413333333333334,20.32,-6.12,-15.56,19.42666666666667
1699836794.3224595,None,-0.5487804878048781,0.1829268292682927,2.073170731707317,0.46826171875,0.44384765625,0.79833984375,16.8,28.05,49.199999999999996,22.38,22.25,24.13,994.97,25.0,9.63018,53177668,None,38.9,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,4.133333333333334,17.573333333333334,20.213333333333335,-6.106666666666667,-15.506666666666668,19.30666666666667
1699836795.3225074,None,-0.06097560975609757,-0.426829268292683,-0.24390243902439027,0.46728515625,0.4375,0.810546875,16.95,28.95,49.65,22.38,22.25,24.06,994.98,24.978,9.63028,53177664,None,38.4,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,4.013333333333334,17.413333333333334,20.173333333333336,-6.293333333333334,-15.613333333333335,19.493333333333336
1699836796.322487,None,1.9512195121951221,0.7317073170731708,0.6707317073170732,0.4580078125,0.4462890625,0.791015625,16.05,28.799999999999997,48.75,22.38,22.25,24.06,994.99,24.994,9.6271,53177664,None,38.4,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,4.213333333333334,17.533333333333335,19.84,-5.986666666666667,-15.440000000000001,19.333333333333336
1699836797.3224666,None,2.378048780487805,0.24390243902439027,-1.9512195121951221,0.4658203125,0.44482421875,0.7880859375,16.8,29.849999999999998,48.449999999999996,22.38,22.25,24.04,994.96,24.987,9.63332,53177660,None,38.9,10.572916666666668,1.1329484374999998,3.0083298841059603,1.1328691406249998,4.544898343373494,1.1329484374999998,10.572916666666668,1.1329484374999998,62.26298046689544,62.26298046689544,None,None,None,None,None,None,None,4.08,17.46666666666667,20.173333333333336,-6.28,-15.546666666666667,19.413333333333334
