time,temp_result,total_mem,free_mem,total_storage,free_storage
1697137490.4164438,None,None,None,460Gi,186Gi,None,None,None,None
1697137494.421323,None,None,None,460Gi,186Gi,None,None,None,None
1697137498.42135,None,None,None,460Gi,186Gi,None,None,None,None
1697137502.4213161,None,None,None,460Gi,186Gi,None,None,None,None
1697137506.421327,None,None,None,460Gi,186Gi,None,None,None,None
1697137510.42132,None,None,None,460Gi,186Gi,None,None,None,None
1697137514.419064,None,None,None,460Gi,186Gi,None,None,None,None
1697137518.4214149,None,None,None,460Gi,186Gi,None,None,None,None
1697137522.421315,None,None,None,460Gi,186Gi,None,None,None,None
1697137526.421292,None,None,None,460Gi,186Gi,None,None,None,None
1697137530.421356,None,None,None,460Gi,186Gi,None,None,None,None
