time, temp_result, total_mem, free_mem, total_storage, free_storage
1694639885.2808187,43.3,7813.0,7613.0,59G,53G
1694639895.2908728,42.3,7813.0,7613.0,59G,53G
1694639905.2896872,42.3,7813.0,7612.0,59G,53G
1694639915.2908409,42.3,7813.0,7612.0,59G,53G
1694639925.2816544,41.8,7813.0,7612.0,59G,53G
1694639935.2908618,42.3,7813.0,7612.0,59G,53G
1694639945.2908514,42.8,7813.0,7612.0,59G,53G
1694639955.290863,42.8,7813.0,7612.0,59G,53G
